row ID	row m/z	row retention time	OOI-3cm-B Peak area	OOI-7cm-B Peak area	OOI-8cm-B Peak area	OOI-0cm-B Peak area	OOI-4cm-B Peak area	OOI-2cm-B Peak area	OOI-5cm-B Peak area	115-9 Peak area	123-8cm-B Peak area	123-9cm-B Peak area	123-5cm-B Peak area	123-4 Peak area	123-7 Peak area	123-3 Peak area	123-6 Peak area	064-7 Peak area	085-8cm-A Peak area	085-9cm-B Peak area	115-4cm-B Peak area	115-8 Peak area	123-2cm-B Peak area	123-0 Peak area	115-5 Peak area	115-3 Peak area	115-7 Peak area	085-5cm-B Peak area	115-1 Peak area	064-9 Peak area	064-5cm-B Peak area	115-2cm-B Peak area	OOI-6 Peak area	085-7cm-B Peak area	085-6 Peak area	123-1 Peak area	115-6 Peak area	085-0 Peak area	085-4 Peak area	064-2cm-B Peak area	115-0 Peak area	085-2 Peak area	064-6 Peak area	085-1 Peak area	064-4 Peak area	085-3 Peak area	064-8 Peak area	064-3 Peak area	064-1 Peak area	064-0 Peak area	
1472	394.1921378380400	18.071037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574.1712	353.3729	489.51685	0	0	0	0	0	0	0	174.55945	0	559.1551	190.82936	0	0	271.58936	255.95724	0	0	0	135.81133	83.45859	0	52.77891	410.81772	0	291.33575	121.38546	537.0929	0	79.08789	0	
732	621.3918158576020	15.882482	5780.9155	5021.9663	5973.494	1713.49	4682.4844	3661.0986	4179.77	6182.6436	5839.2285	4722.1875	14330.014	19962.914	15595.889	22649.795	29019.293	239.3591	845.5062	287.00723	29969.896	7096.913	22660.834	17258.617	13553.857	23032.373	11108.15	760.3427	5623.4976	566.70654	1547.1847	16114.937	3456.0479	2396.5105	2704.9985	21928.996	9224.281	8538.872	4108.583	8016.435	13482.856	7645.0435	1370.406	14549.745	2915.963	6414.7905	548.42316	21795.68	5534.4937	24051.846	
2068	804.7780511913860	20.087334	124.05514	0	63.933403	753.5366	483.36536	462.59113	101.59427	679.1013	0	0	50.618996	0	0	0	0	631.51526	612.0405	0	0	0	0	66.318436	0	0	0	752.4744	0	174.16359	311.66473	114.72838	457.76068	752.3635	0	0	0	0	0	0	0	0	0	108.7633	137.62086	0	0	0	0	0	
150	599.4092470944220	12.225392	0	0	0	0	0	0	0	119.33711	161.1026	162.81436	161.20575	262.93332	190.16467	434.6355	567.6886	0	0	0	129.96419	267.87958	123.981674	267.38806	275.90787	289.7818	410.111	0	0	0	0	265.48102	0	0	0	343.52597	0	198.42888	0	92.96486	154.69243	0	0	207.59872	0	79.12621	0	111.901474	120.8277	0	
697	613.2687970906890	15.743693	61.88626	285.91354	157.58623	177.6874	0	280.645	195.67761	2732.2476	508.93097	448.58484	1881.2783	1996.395	680.08905	1570.9434	1154.2383	993.8783	128.28659	72.416306	3369.4858	854.8838	300.0755	2002.9276	401.18616	123.11698	880.1118	146.70877	0	1341.0305	1006.06824	1602.7064	886.7861	210.14453	1724.0511	968.0474	209.46075	306.80447	1044.8672	423.0441	401.32434	1272.6259	100.162674	357.3366	289.1643	1056.8276	122.06503	240.20828	1273.0039	3462.7646	
151	431.3234576404050	12.234593	0	0	0	0	0	0	0	0	0	0	0	49.628735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.167755	0	0	36.898468	0	0	0	0	0	216.78197	0	0	0	0	43.35164	
233	471.4308246707240	12.955707	65.64304	78.88404	97.106125	97.3937	88.5957	0	65.905525	172.1654	107.9188	94.37232	124.284355	108.64013	286.68347	231.73483	385.00067	0	95.5529	0	247.30652	243.78522	130.04797	190.59358	0	146.50888	135.66568	45.872307	47.92428	0	128.30252	285.3036	63.149044	164.48973	101.01248	261.1316	166.47415	103.97455	84.909256	171.85577	107.404625	152.16304	0	168.83829	112.13405	122.45674	0	253.39001	209.0591	164.7998	
2047	406.40305658981600	20.028746	0	0	0	0	0	0	0	47.6247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255.02646	0	0	0	0	0	0	0	0	68.87411	0	0	0	0	0	0	0	0	0	0	
191	613.3881070266630	12.5685625	0	0	0	0	36.27234	36.937714	0	164.9285	90.15671	105.30182	181.8516	264.8652	414.38303	576.0667	468.63794	0	0	0	210.83008	195.26471	218.04373	236.0567	211.29141	292.9818	249.28609	0	0	0	0	270.00836	0	0	0	337.7645	283.08936	566.1354	126.51353	90.23892	347.9414	227.06155	0	546.57886	56.868675	100.9836	0	246.96742	116.67425	505.6695	
117	616.4625488027530	11.664047	0	40.665886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.051544	0	0	0	0	0	0	0	0	170.99712	0	0	0	0	0	0	0	0	0	120.95613	0	0	0	0	0	0	0	48.393143	0	0	0	0	
480	595.3385467334780	14.723592	0	0	0	0	0	0	0	117.88667	0	0	61.894604	208.72818	371.04608	184.8786	323.61124	0	0	0	316.53613	393.40607	435.1334	57.32409	97.76548	180.94118	98.96157	0	0	0	0	114.352325	0	0	0	144.22162	100.36867	0	0	0	0	0	0	0	0	0	0	0	78.20378	0	
277	522.3549533903540	13.218305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605.26855	0	0	0	0	0	0	0	0	0	0	0	111.68935	0	0	0	0	0	0	0	0	0	0	0	0	0	1051.574	
339	641.419154886978	13.757137	0	0	56.72795	0	49.734802	0	0	629.27356	367.06497	430.89975	404.78815	520.9619	887.9864	1200.0745	1670.581	0	0	0	704.7982	435.74615	274.25494	2071.933	417.46454	403.33765	354.55222	0	0	0	0	1167.3846	0	0	86.86812	1879.6714	451.58124	217.59024	87.07144	219.29758	407.43457	99.74599	0	191.87009	45.65203	62.39881	0	474.02725	187.96582	2291.9004	
1076	613.423826271228	16.819466	61.7975	73.10716	49.14699	0	45.91217	55.57638	52.46024	322.97592	340.60675	357.59964	403.21484	204.54536	328.1541	259.4777	283.92523	0	79.71512	0	365.5949	369.65607	360.55853	148.59631	384.43402	298.29153	330.7262	22.014132	72.88163	0	169.67802	161.11609	24.829025	163.63281	85.380325	134.74782	460.09335	143.78539	0	206.63272	297.59283	261.05646	50.05018	104.306366	75.963455	156.30518	0	204.96745	215.5445	257.59006	
555	420.25020806622800	15.130477	0	0	0	0	0	0	0	0	95.35098	71.23564	0	0	0	0	0	421.7268	346.1249	380.83856	0	0	0	0	0	0	45.147636	69.51488	0	276.70123	174.14595	0	0	231.8772	87.36777	0	39.952763	0	0	86.817566	0	0	262.38846	0	136.85788	0	283.72427	0	117.489334	0	
1812	545.5082146075360	19.34555	168.40279	194.82658	178.9819	172.99854	178.59415	195.31255	148.21492	154.6451	89.96951	58.312916	69.31375	94.03075	164.0343	158.18779	164.40302	1329.8033	70.37115	0	129.6344	212.389	53.090683	0	75.02797	87.97669	0	146.97916	56.635864	2845.344	270.7355	145.31354	172.792	128.39606	0	97.95544	63.458527	70.23178	58.76416	282.5987	0	81.2924	671.824	58.09864	211.78195	77.11491	3147.2144	219.96143	168.81888	166.93076	
